season,team_id,team_name,game_index,final_win_pct,team_offensiveRating_avg_todate,team_defensiveRating_avg_todate,team_netRating_avg_todate,eFG_diff_avg_todate,TOV_diff_avg_todate,ORB_diff_avg_todate,FTr_diff_avg_todate,team_pace_avg_todate,win_pct_todate,opp_mean_netRating_todate,adj_net_rating_todate,team_netRating_last5,team_netRating_last10,eFG_diff_last5,eFG_diff_last10,win_last5,win_last10,team_netRating_std_last10,eFG_diff_std_last10,home_win_pct,away_win_pct,home_away_diff
2023-24,1610612738,Celtics,60,0.7804878048780488,121.62372881355932,110.7457627118644,10.883050847457627,0.057305084745762715,-0.007271186440677967,0.009711864406779663,0.039491525423728815,98.77372881355932,0.7966101694915254,0.03141794129805703,10.851632906159569,26.639999999999997,19.630000000000003,0.156,0.12069999999999999,1.0,1.0,16.86311227370427,0.07013487007188368,0.9024390243902439,0.6585365853658537,0.24390243902439024
2023-24,1610612738,Celtics,65,0.7804878048780488,121.659375,110.4265625,11.239062500000001,0.05703125,-0.004703125000000001,0.013781250000000002,0.03578125,98.61171875,0.78125,0.1013719512195122,11.137690548780489,15.439999999999998,21.04,0.05379999999999997,0.1049,0.6,0.8,20.020278608339986,0.10247216424202456,0.9024390243902439,0.6585365853658537,0.24390243902439024
2023-24,1610612738,Celtics,70,0.7804878048780488,122.3014492753623,110.52173913043478,11.785507246376813,0.057115942028985504,-0.002333333333333334,0.012898550724637683,0.03830434782608696,98.39347826086956,0.7971014492753623,-0.15378225521385647,11.93928950159067,18.779999999999998,17.11,0.05819999999999999,0.05599999999999998,1.0,0.8,16.6972020277517,0.09553242614130794,0.9024390243902439,0.6585365853658537,0.24390243902439024
2023-24,1610612738,Celtics,75,0.7804878048780488,122.50135135135136,110.81486486486486,11.691891891891892,0.05421621621621621,-0.0014459459459459463,0.013540540540540543,0.03948648648648649,98.07405405405405,0.7837837837837838,-0.2818556361239288,11.97374752801582,10.399999999999999,14.589999999999998,0.014200000000000013,0.036199999999999996,0.6,0.8,10.987007478532686,0.07428144676386787,0.9024390243902439,0.6585365853658537,0.24390243902439024
2023-24,1610612738,Celtics,80,0.7804878048780488,122.32278481012658,110.64303797468354,11.683544303797468,0.054734177215189875,-0.0005696202531645574,0.011594936708860762,0.03683544303797469,97.88582278481012,0.7848101265822784,-0.36937326335288667,12.052917567150356,11.559999999999999,10.98,0.06239999999999999,0.0383,0.8,0.7,14.701836619960096,0.10470174571398301,0.9024390243902439,0.6585365853658537,0.24390243902439024
2023-24,1610612739,Cavaliers,10,0.5853658536585366,108.6,110.78888888888889,-2.177777777777778,0.0011111111111111243,0.012444444444444445,-0.05688888888888889,-0.00211111111111111,100.94444444444444,0.4444444444444444,3.5819783197831976,-5.759756097560976,2.4199999999999995,-2.177777777777778,0.040600000000000025,0.0011111111111111243,0.6,0.4444444444444444,9.996971763711471,0.07697799108258875,0.6341463414634146,0.5365853658536586,0.09756097560975607
2023-24,1610612739,Cavaliers,15,0.5853658536585366,111.87857142857142,111.45,0.45,0.01878571428571429,0.005857142857142858,-0.03257142857142857,0.00335714285714286,99.37571428571428,0.5714285714285714,1.7397212543554006,-1.2897212543554006,5.180000000000001,3.8,0.05059999999999999,0.04560000000000001,0.8,0.7,9.137833441248532,0.09162750678699057,0.6341463414634146,0.5365853658536586,0.09756097560975607
2023-24,1610612739,Cavaliers,20,0.5853658536585366,110.74736842105263,111.84210526315789,-1.0894736842105264,0.013421052631578959,0.0007894736842105255,-0.029842105263157892,-0.016684210526315787,99.46105263157895,0.5263157894736842,0.48241335044929395,-1.5718870346598204,-5.4,-0.10999999999999996,-0.0015999999999999682,0.02450000000000001,0.4,0.6,16.8711752867296,0.11721229552492445,0.6341463414634146,0.5365853658536586,0.09756097560975607
2023-24,1610612739,Cavaliers,25,0.5853658536585366,110.9875,111.27083333333333,-0.2833333333333334,0.014541666666666675,0.0032083333333333317,-0.02441666666666666,-0.024833333333333332,99.17750000000001,0.5416666666666666,0.7398373983739838,-1.023170731707317,2.7800000000000002,-1.31,0.018799999999999994,0.008600000000000014,0.6,0.5,16.703522582577204,0.10126335302895449,0.6341463414634146,0.5365853658536586,0.09756097560975607
2023-24,1610612739,Cavaliers,30,0.5853658536585366,112.98965517241379,113.34827586206896,-0.3517241379310345,0.010275862068965523,0.002379310344827585,-0.015999999999999993,-0.033482758620689654,98.57034482758621,0.5517241379310345,0.9550462573591253,-1.30677039529016,-0.6800000000000004,1.05,-0.01020000000000001,0.004299999999999993,0.6,0.6,10.922377641032801,0.06208963055311431,0.6341463414634146,0.5365853658536586,0.09756097560975607
2023-24,1610612739,Cavaliers,35,0.5853658536585366,114.11470588235295,113.02352941176471,1.1029411764705883,0.01279411764705883,0.002235294117647059,0.005235294117647065,-0.03938235294117647,98.57470588235294,0.5588235294117647,0.4532281205164993,0.649713055954089,9.540000000000001,4.43,0.027400000000000025,0.008600000000000007,0.6,0.6,15.882348692809888,0.06990501492104209,0.6341463414634146,0.5365853658536586,0.09756097560975607
