season,team_id,team_name,team_offensiveRating_avg_todate,team_defensiveRating_avg_todate,team_netRating_avg_todate,eFG_diff_avg_todate,TOV_diff_avg_todate,ORB_diff_avg_todate,FTr_diff_avg_todate,team_pace_avg_todate,win_pct_todate,opp_mean_netRating_todate,adj_net_rating_todate,team_netRating_last5,team_netRating_last10,eFG_diff_last5,eFG_diff_last10,win_last5,win_last10,team_netRating_std_last10,eFG_diff_std_last10,home_win_pct,away_win_pct,home_away_diff,final_win_pct
2021-22,1610612737,Hawks,111.88947368421053,110.32105263157894,1.5736842105263158,0.005263157894736835,0.0013684210526315787,0.006736842105263161,0.030578947368421056,98.55263157894737,0.5263157894736842,0.8801026957638,0.6935815147625158,14.120000000000001,5.2299999999999995,0.10079999999999996,0.030699999999999995,1.0,0.6,13.781150572833575,0.08118298946071013,0.6585365853658537,0.3902439024390244,0.2682926829268293,0.524390243902439
2021-22,1610612738,Celtics,106.43684210526315,105.30526315789473,1.142105263157895,-0.002947368421052628,0.006473684210526317,0.019052631578947366,-0.014105263157894727,97.9121052631579,0.5263157894736842,-1.0974967907573812,2.2396020539152763,2.2600000000000007,3.4200000000000004,-0.019000000000000017,-0.004799999999999999,0.6,0.6,12.725896606701017,0.07097229506410697,0.6829268292682927,0.5609756097560976,0.12195121951219512,0.6219512195121951
2021-22,1610612739,Cavaliers,105.38421052631578,105.41578947368421,-0.031578947368420894,-0.000999999999999995,-0.014684210526315791,0.0018947368421052648,0.044736842105263165,97.84210526315789,0.47368421052631576,1.3738125802310657,-1.4053915275994866,-8.76,-0.05,-0.0676,-0.0003999999999999837,0.0,0.4,12.55054226362794,0.08491983147520832,0.6097560975609756,0.4634146341463415,0.1463414634146341,0.5365853658536586
2021-22,1610612740,Pelicans,102.88947368421053,111.47368421052632,-8.58421052631579,-0.05221052631578947,-0.035526315789473684,0.04978947368421053,-0.011263157894736841,98.1842105263158,0.15789473684210525,0.6621309370988446,-9.246341463414634,-7.3199999999999985,-9.379999999999999,-0.0248,-0.048600000000000004,0.2,0.2,14.8756923274926,0.09153408594009606,0.4634146341463415,0.4146341463414634,0.04878048780487809,0.43902439024390244
2021-22,1610612741,Bulls,108.10526315789474,105.38421052631578,2.7157894736842105,0.00447368421052632,0.03305263157894736,-0.03431578947368421,-0.01584210526315789,99.3157894736842,0.631578947368421,-0.37541720154043645,3.091206675224647,-5.76,0.5500000000000003,-0.038400000000000004,0.0067,0.4,0.6,17.645537679538133,0.08490785855528593,0.6585365853658537,0.4634146341463415,0.1951219512195122,0.5609756097560976
2021-22,1610612742,Mavericks,106.78947368421052,109.2421052631579,-2.4526315789473685,-0.03178947368421052,0.024368421052631584,-0.008736842105263157,0.001368421052631575,97.21157894736842,0.5263157894736842,1.0075096277278563,-3.4601412066752246,-6.5,-0.9299999999999997,-0.0808,-0.03259999999999999,0.2,0.4,11.956313999073643,0.08040204530289567,0.7073170731707317,0.5609756097560976,0.14634146341463405,0.6341463414634146
2021-22,1610612743,Nuggets,106.60000000000001,107.65263157894738,-1.0421052631578949,-0.008789473684210519,0.004578947368421055,0.012789473684210531,-0.02773684210526316,96.42105263157895,0.47368421052631576,1.3046213093709884,-2.3467265725288833,-16.72,-3.25,-0.09159999999999997,-0.03279999999999998,0.0,0.4,18.898809486314214,0.11088412370077551,0.5609756097560976,0.6097560975609756,-0.04878048780487798,0.5853658536585366
2021-22,1610612744,Warriors,113.56842105263159,99.96315789473684,13.621052631578948,0.07752631578947368,2.1912296538654404e-18,0.016315789473684207,-0.003421052631578952,100.43473684210527,0.8947368421052632,-1.6922978177150194,15.313350449293967,14.559999999999999,13.95,0.1136,0.07629999999999999,1.0,0.9,8.268313008105102,0.07658843834998134,0.7560975609756098,0.5365853658536586,0.2195121951219512,0.6463414634146342
2021-22,1610612745,Rockets,99.84736842105262,109.02105263157895,-9.173684210526316,-0.02173684210526316,-0.04294736842105264,-0.005894736842105267,0.05021052631578948,103.00894736842106,0.15789473684210525,0.8698973042362004,-10.043581514762517,-4.9,-11.48,0.0014000000000000013,-0.0348,0.4,0.2,11.434139913240333,0.07910021772690923,0.2682926829268293,0.21951219512195122,0.048780487804878064,0.24390243902439024
2021-22,1610612746,Clippers,105.08947368421053,102.39999999999999,2.689473684210526,0.028263157894736837,0.009,-0.02873684210526316,0.01742105263157894,100.13263157894737,0.5789473684210527,-0.3094351732991014,2.9989088575096274,-3.3600000000000017,1.9199999999999995,0.006200000000000016,0.027500000000000004,0.4,0.6,12.434432480459698,0.0849198968963628,0.6097560975609756,0.4146341463414634,0.1951219512195122,0.5121951219512195
2021-22,1610612747,Lakers,105.09473684210526,108.6157894736842,-3.5315789473684207,-0.006368421052631576,-0.00042105263157894555,-0.017263157894736834,-0.022315789473684212,102.43105263157895,0.47368421052631576,-0.5876765083440307,-2.9439024390243897,-8.98,-7.040000000000001,-0.0598,-0.0221,0.2,0.4,11.459319351514731,0.08962694287371901,0.5121951219512195,0.2926829268292683,0.21951219512195125,0.4024390243902439
2021-22,1610612748,Heat,110.72631578947369,104.52105263157895,6.205263157894737,0.01973684210526316,0.00321052631578947,0.04836842105263158,0.019894736842105264,97.1757894736842,0.631578947368421,0.013671373555840985,6.191591784338896,3.4800000000000004,1.53,0.013800000000000012,-0.0029000000000000024,0.6,0.5,11.413155177737266,0.06546322122637516,0.7073170731707317,0.5853658536585366,0.12195121951219512,0.6463414634146342
