GAME_ID,SEASON,GAME_DATE,TEAM_ID,TEAM_NAME,OPP_TEAM_ID,IS_HOME,WL,rolling_ortg,rolling_drtg,rolling_netrtg,rolling_pace,rolling_ast_pct,rolling_ast_to,rolling_ast_ratio,rolling_oreb_pct,rolling_dreb_pct,rolling_reb_pct,rolling_tov_pct,rolling_efg,rolling_ts,rolling_fg_pct,rolling_fg3_pct,rolling_ft_pct,rolling_pts,rolling_starter_per,rolling_bench_per,rolling_starter_usg,rolling_bench_usg,wins_last_10,rolling_tempo,nba_ortg,nba_drtg,nba_netrtg,nba_pace,nba_efg,nba_ts,nba_ast_pct,nba_tov_pct,nba_oreb_pct,nba_dreb_pct,nba_reb_pct,opp_rolling_ortg,opp_rolling_drtg,opp_rolling_netrtg,opp_rolling_pace,opp_rolling_ast_pct,opp_rolling_ast_to,opp_rolling_ast_ratio,opp_rolling_oreb_pct,opp_rolling_dreb_pct,opp_rolling_reb_pct,opp_rolling_tov_pct,opp_rolling_efg,opp_rolling_ts,opp_rolling_fg_pct,opp_rolling_fg3_pct,opp_rolling_ft_pct,opp_rolling_pts,opp_rolling_starter_per,opp_rolling_bench_per,opp_rolling_starter_usg,opp_rolling_bench_usg,opp_wins_last_10,opp_rolling_tempo,opp_nba_ortg,opp_nba_drtg,opp_nba_netrtg,opp_nba_pace,opp_nba_efg,opp_nba_ts,opp_nba_ast_pct,opp_nba_tov_pct,opp_nba_oreb_pct,opp_nba_dreb_pct,opp_nba_reb_pct
0022300693,2023-24,2024-02-02 00:00:00,1610612763,Memphis Grizzlies,1610612744,1,0,107.78750000000001,112.93541666666665,-5.15625,99.24479166666667,0.6465625,1.892961657759452,17.9375,0.27491666666666664,0.7085833333333333,0.4856041666666666,14.61875,0.5150625,0.5500833333333334,0.43862500000000004,0.3445833333333333,0.7694166666666667,107.375,0.07261666666666665,0.09257638888888886,0.20877083333333332,0.1653541666666666,4,-511.73095703125,107.71159874608149,112.87356321839081,-5.161964472309322,19.85133967156439,0.5148444863336475,0.5493451345543845,64.15905427189684,12.383172333415514,22.155963302752294,75.587084148728,48.01136363636363,117.39999999999999,117.7909090909091,-0.3863636363636362,99.76454545454546,0.6660000000000001,2.4001729903379916,19.531818181818185,0.3149090909090909,0.7189772727272726,0.5170227272727272,14.349999999999996,0.5552727272727274,0.5894772727272728,0.4723636363636363,0.3761818181818181,0.7963409090909093,118.56818181818181,0.08830454545454543,0.09524999999999996,0.19536818181818177,0.18350757575757573,4.0,-38.545392561983455,117.31504384978638,117.49494040926467,-0.1798965594782942,19.977164248947123,0.553625,0.5876747141041931,66.40127388535032,12.151966876984096,27.83715012722646,75.61728395061729,51.59887439242773
0022300706,2023-24,2024-02-04 00:00:00,1610612763,Memphis Grizzlies,1610612738,0,0,107.64897959183673,113.07551020408162,-5.4346938775510205,99.2704081632653,0.6508571428571428,1.901425548574408,18.00204081632653,0.2738367346938775,0.7096938775510204,0.4847959183673469,14.606122448979592,0.5144081632653061,0.5494285714285715,0.4378775510204082,0.3437551020408163,0.7681632653061224,107.24489795918367,0.07309387755102038,0.0904489795918367,0.2088938775510204,0.16630612244897955,4,-539.5042794668888,107.5742067553736,113.03991811668372,-5.465711361310127,19.85436071126164,0.5141999538212884,0.5486989934427599,64.55696202531645,12.37053032243897,22.072678331090177,75.6977863330125,47.94520547945205,120.28775510204082,111.19387755102039,9.097959183673469,98.93163265306121,0.5996122448979592,2.4807642071147473,18.414285714285715,0.28630612244897957,0.725,0.5153673469387755,12.56530612244898,0.5673061224489796,0.6014285714285714,0.47742857142857137,0.38077551020408157,0.8044897959183673,120.08163265306122,0.10772244897959185,0.09488435374149658,0.19869795918367344,0.1653945578231292,7.0,900.0759558517283,120.1797385620915,111.15196078431373,9.027777777777771,19.773496003365587,0.5660569105691057,0.5999624768539289,59.90521327014218,10.674652618386633,24.801864801864802,76.26973965002134,51.67112299465241
0022300722,2023-24,2024-02-06 00:00:00,1610612763,Memphis Grizzlies,1610612752,0,0,107.28,113.38199999999999,-6.11,99.325,0.6487,1.88239703760292,17.918,0.2742199999999999,0.7081999999999999,0.48419999999999996,14.706000000000001,0.51292,0.5478000000000001,0.43672000000000005,0.34265999999999996,0.76946,106.92,0.07260399999999997,0.0902333333333333,0.208476,0.16689333333333325,3,-606.87575,107.19871666332463,113.3547222779226,-6.156005614597973,19.865228215767633,0.5126610897580828,0.5470867070005813,64.37079233557742,12.468917282349317,22.23194748358862,75.43529411764706,47.86848072562358,118.09600000000002,111.896,6.2,97.55,0.5722,2.2232850248306906,17.31,0.333,0.7409399999999999,0.53334,13.518000000000002,0.54162,0.5783200000000001,0.46797999999999995,0.36849999999999994,0.7908399999999998,115.04,0.10469599999999998,0.08702666666666663,0.20235200000000003,0.1611733333333333,9.0,604.81,117.9897435897436,112.08205128205128,5.907692307692315,19.5,0.5401925660546351,0.5768567325358429,57.362110311750605,11.044420337434696,29.52336881073577,76.93010507080858,53.37931034482759
0022300737,2023-24,2024-02-08 00:00:00,1610612763,Memphis Grizzlies,1610612741,1,0,107.5078431372549,113.67058823529412,-6.170588235294117,99.25,0.651764705882353,1.8814350041858692,18.029411764705884,0.2744509803921568,0.7089019607843137,0.4846274509803921,14.788235294117648,0.5154901960784314,0.5497843137254902,0.43821568627450985,0.347078431372549,0.7666274509803921,107.03921568627452,0.07267450980392155,0.09094771241830063,0.20775686274509803,0.1685228758169934,3,-612.4308823529411,107.41833923652106,113.65604092876819,-6.2377016922471284,19.84833197721725,0.5149900066622252,0.5488726945134851,64.70588235294117,12.555126500812392,22.22222222222222,75.46296296296296,47.88041053101294,113.15098039215688,114.92549019607844,-1.7725490196078426,97.0221568627451,0.5890980392156863,2.366976032729083,17.813725490196077,0.2853529411764706,0.7193725490196079,0.4992156862745098,12.631372549019611,0.5322549019607843,0.5668039215686275,0.4664901960784313,0.35619607843137263,0.7909607843137255,111.41176470588235,0.08962745098039214,0.0826862745098039,0.20219607843137255,0.16754901960784316,5.0,-171.97652902729715,113.07462686567165,114.50746268656718,-1.4328358208955336,19.428111155859845,0.53076246978686,0.5653371327597049,58.9041095890411,10.745392801830093,24.704336399474375,76.35354002776492,49.81998199819982
0022300751,2023-24,2024-02-10 00:00:00,1610612763,Memphis Grizzlies,1610612766,0,0,107.6903846153846,113.87307692307692,-6.190384615384615,99.15865384615384,0.6511346153846154,1.9008091173532349,18.06153846153846,0.27398076923076914,0.7087884615384615,0.4837307692307692,14.707692307692309,0.5163461538461538,0.5501538461538462,0.438673076923077,0.3479230769230769,0.7637115384615385,107.09615384615384,0.07285769230769229,0.09055128205128202,0.20808461538461537,0.16796794871794865,3,-613.8302052514792,107.59273570324575,113.87171561051004,-6.2789799072642865,19.82825219473264,0.5158902916848063,0.5492500453681128,64.64746772591857,12.481355651309247,22.1612494723512,75.46739626082991,47.78605874616396,109.10392156862746,121.44705882352942,-12.337254901960783,98.83607843137254,0.6070980392156863,2.109275636627212,17.935294117647054,0.26305882352941173,0.7189215686274509,0.4784901960784314,13.688235294117648,0.5242941176470588,0.556392156862745,0.45705882352941174,0.35762745098039217,0.7893725490196077,108.2156862745098,0.09900784313725486,0.07711764705882349,0.2066549019607843,0.16752287581699343,0.0,-1219.3658931180314,109.0711462450593,121.34387351778658,-12.27272727272728,19.762408462164363,0.5232532510469473,0.5552850174664756,60.79188797682279,11.676844657088218,22.566752799310937,75.43436293436294,47.496586253982706
0022300766,2023-24,2024-02-12 00:00:00,1610612763,Memphis Grizzlies,1610612740,1,0,107.72075471698113,113.91698113207546,-6.20377358490566,99.13679245283019,0.6533207547169813,1.9168315868371362,18.16603773584906,0.27250943396226407,0.709433962264151,0.4825094339622641,14.664150943396228,0.5170566037735849,0.5502452830188679,0.43920754716981136,0.3482264150943396,0.7587358490566037,107.0754716981132,0.0730641509433962,0.09104402515723267,0.2084754716981132,0.16798742138364775,2,-615.0222143111428,107.62374359946901,113.95789872937607,-6.33415512990706,19.820203602192638,0.5166453265044815,0.5493537470281656,64.90034030140983,12.457289293849659,22.102649006622517,75.55155335434489,47.703256415786065,117.29433962264152,112.89622641509436,4.403773584905659,99.27150943396225,0.6262641509433963,2.3322086117729848,19.17924528301887,0.29230188679245284,0.7213018867924528,0.5091509433962265,13.269811320754718,0.5576037735849056,0.5916981132075472,0.4890566037735849,0.37549056603773584,0.7622452830188681,116.52830188679245,0.11213584905660375,0.11694339622641506,0.20667169811320754,0.16869182389937107,6.0,437.16925097899593,117.2584013670021,113.13840896145813,4.119992405543968,19.83648489603766,0.5574860574860575,0.5910319325672375,62.86215978928885,11.305841691055143,25.405168637757335,76.69565217391305,51.14553785729872
0022300783,2023-24,2024-02-14 00:00:00,1610612763,Memphis Grizzlies,1610612745,1,1,107.40370370370371,113.65925925925924,-6.262962962962962,99.07870370370371,0.6564814814814816,1.91183579492403,18.225925925925928,0.270611111111111,0.7092962962962963,0.4816481481481481,14.74074074074074,0.5166296296296295,0.5495925925925926,0.43885185185185194,0.3468333333333333,0.760888888888889,106.70370370370371,0.07344444444444442,0.09126543209876539,0.2085148148148148,0.16817901234567895,1,-620.5262517146775,107.31979884522258,113.70832557273236,-6.388526727509785,19.808762490392006,0.5162576043633312,0.5487953551454564,65.18412242945959,12.529824982338278,21.864820846905538,75.50750220653133,47.60694620923338,113.23396226415096,112.60377358490567,0.6264150943396224,99.12641509433962,0.6004528301886792,2.1854981982793187,17.84528301886792,0.2842452830188679,0.7239245283018867,0.5041698113207547,12.93396226415094,0.5305283018867925,0.5668113207547171,0.4628301886792453,0.35258490566037737,0.7746792452830189,113.33962264150944,0.11061509433962262,0.09467924528301885,0.1908,0.18825157232704404,4.0,62.094282662869325,113.2114587259706,112.45759517527327,0.7538635506973321,19.827792915531333,0.529628073124606,0.5658781237753594,59.945504087193456,11.089371624609694,24.2603550295858,76.87160184023422,50.70422535211267
0022300790,2023-24,2024-02-15 00:00:00,1610612763,Memphis Grizzlies,1610612749,1,1,107.6509090909091,113.64727272727272,-6.003636363636362,99.09545454545454,0.6571272727272728,1.9217032432807832,18.256363636363638,0.26932727272727264,0.7075818181818182,0.4809818181818181,14.672727272727272,0.5179454545454545,0.5509272727272727,0.4398545454545455,0.3483272727272727,0.7594727272727273,106.96363636363637,0.07434909090909089,0.09163636363636359,0.20867272727272726,0.16843636363636358,1,-594.9330743801652,107.56993965990127,113.69537392576339,-6.1254342658621255,19.81222641509434,0.5174370614940157,0.5501503725648622,65.25821596244131,12.488297336048133,21.817453963170536,75.19346517626828,47.55389718076285,119.0581818181818,115.97999999999999,3.0690909090909098,102.05509090909092,0.6072727272727273,2.363401860074115,18.87636363636364,0.25476363636363636,0.7290545454545454,0.49872727272727274,12.579999999999995,0.5743999999999999,0.6080727272727273,0.4944363636363637,0.3768363636363636,0.7699636363636365,122.23636363636363,0.09969818181818178,0.09009696969696966,0.1975927272727273,0.16618787878787875,4.0,313.2163517355373,119.09654561558902,115.89016829052258,3.206377325066441,20.411299435028248,0.5741646291768541,0.6079453382718908,60.71723000824403,11.022998641837832,21.74650275540483,76.38110488390713,49.84558369363805
0022300807,2023-24,2024-02-23 00:00:00,1610612763,Memphis Grizzlies,1610612746,1,0,107.74642857142855,113.5625,-5.823214285714286,99.12053571428571,0.6575714285714286,1.9208692567936263,18.317857142857147,0.26783928571428567,0.7070892857142858,0.4804642857142857,14.696428571428571,0.5195535714285714,0.552125,0.44146428571428575,0.3510357142857143,0.7571964285714285,107.07142857142857,0.07550357142857142,0.09091666666666663,0.2084392857142857,0.16899999999999998,2,-577.2001195790816,107.66744478362362,113.62901777697971,-5.961572993356086,19.815567086730912,0.5189693649827551,0.5512975167706249,65.31738730450782,12.52999800549454,21.749408983451538,75.18987341772151,47.55501222493888,119.41851851851851,114.57407407407406,4.855555555555555,98.57722222222222,0.6070555555555556,2.406432773755185,18.78333333333333,0.2871666666666667,0.7043333333333334,0.5031296296296296,13.120370370370372,0.5684814814814815,0.6061851851851853,0.4930740740740741,0.39562962962962966,0.8213333333333331,118.05555555555556,0.0991,0.11961111111111107,0.2030481481481481,0.16654938271604933,6.0,478.64717901234565,119.40438284322907,114.29106574264844,5.11331710058063,19.736003080477474,0.5678685047720042,0.6054131054131054,60.525182953077916,11.07920959297416,24.76319350473613,74.7150696496412,50.56694286960314
0022300830,2023-24,2024-02-26 00:00:00,1610612763,Memphis Grizzlies,1610612751,1,0,107.61052631578946,113.41578947368421,-5.8122807017543865,99.05701754385964,0.6580350877192982,1.925181492054557,18.329824561403512,0.2684736842105263,0.7058771929824561,0.4800350877192982,14.678947368421053,0.5185438596491228,0.5509298245614035,0.44105263157894736,0.34889473684210526,0.7559824561403509,106.85964912280701,0.07575438596491227,0.09126900584795318,0.20816842105263156,0.16916374269005843,2,-575.7471914435212,107.5388418079096,113.50635593220339,-5.9675141242937855,19.801310997815005,0.5179282868525896,0.5501145206390035,65.37070524412296,12.50173854771207,21.86172267284666,75.03110742430526,47.5,113.5482142857143,116.61785714285715,-3.0732142857142852,98.52410714285715,0.6441785714285714,2.435924516491052,18.912499999999998,0.28708928571428577,0.7179107142857142,0.49691071428571426,12.775,0.5339464285714286,0.563875,0.4583392857142857,0.3654107142857143,0.767875,112.5,0.10271071428571428,0.0793988095238095,0.20139642857142853,0.16791666666666666,2.0,-302.7856935586734,113.55443403028119,116.5465032444124,-2.99206921413122,19.704328523862372,0.5322453794730633,0.5625964451048752,63.956989247311824,10.644681489425539,25.212355212355213,76.14716825134353,49.81034138550609
