team,avg_wins,prob_playoff_approx
Celtics,65.0136,1.0
76ers,58.0676,0.9999
Thunder,57.7316,1.0
Nuggets,56.3063,0.9997
Timberwolves,56.2949,0.9998
Clippers,55.5687,0.9987
Knicks,52.3732,0.9889
Pelicans,48.0134,0.8942
Bucks,47.4324,0.8659
Magic,47.3659,0.8604
Suns,46.2252,0.7943
Mavericks,45.0442,0.7171
Pacers,44.449,0.6668
Cavaliers,44.0258,0.6351
Warriors,41.6489,0.4282
Rockets,39.2711,0.2374
Kings,39.0478,0.2161
Heat,38.6436,0.1919
Lakers,36.3034,0.0803
Hawks,36.2037,0.0791
Nets,34.6216,0.0378
Raptors,30.87,0.0035
Bulls,29.7065,0.001
Jazz,24.8671,0.0
Grizzlies,21.9688,0.0
Pistons,20.0555,0.0
Wizards,19.7637,0.0
Trail Blazers,18.9734,0.0
Spurs,18.5512,0.0
Hornets,17.5919,0.0
