game_id,home_team,away_team,prob_home_win,rand,home_wins,feature_vector,sim_id
22400001,Celtics,Hawks,0.7657687216444509,0.3745401188473625,True,"[1.0, 109.69132532779444, 10.746766128903834, 1.141637544868045, 0.10740989596307493, 0.018550837199032603, 10.746766128903834, 0.055317291666666615, 0.012123541666666671, 0.031980833333333306, -0.5969717540900144, 11.34373788299385, 0.0, 1.0529693851306454, 1044.712316345872, 1.0]",0
22400002,Pistons,Heat,0.3986833591814287,0.3663618432936917,True,"[1.0, 117.60036976970518, -7.957160267175107, 1.1445589687860003, -0.07957185763148518, 0.023672215872558206, -7.957160267175107, -0.02915812499999997, 0.010688749999999974, 0.0008820833333333281, 0.44303138576694495, -8.400191652942052, 0.0, 0.9615065047324208, -821.6360980233591, 1.0]",0
22400003,Magic,Hornets,0.97372061066816,0.034388521115218396,True,"[1.0, 109.68365244123456, 2.66429064435739, 1.146795773004591, 0.026636155677478107, 0.041193580238313196, 2.66429064435739, -0.00020375000000000132, 0.036438749999999985, 0.032465416666666636, -10.039246894902917, 12.703537539260306, 0.0, 0.97921628489427, 277.693012872954, 1.0]",0
22400004,76ers,Knicks,0.32552945693803587,0.5426960831582485,False,"[1.0, 112.13676825885575, 6.499456687426422, 1.1453486342751489, 0.06496961844622444, 0.0074779712787155185, 6.499456687426422, -0.0061968749999999845, -0.012132083333333332, -0.018497916666666663, 4.3412337354585375, 2.1582229519678844, 0.0, 1.037235131532197, 672.0010047226717, 1.0]",0
22400005,Bucks,Raptors,0.7727412834339575,0.7296061783380641,True,"[1.0, 115.73166654868507, 2.7839009228813114, 1.1462436503451447, 0.02787970852206757, -0.018777893354803555, 2.7839009228813114, 0.029793333333333328, -0.010874583333333316, 0.0002512499999999914, -2.562534886595242, 5.346435809476553, 0.0, 1.0374195203740102, 307.37937963666917, 1.0]",0
22400006,Jazz,Suns,0.32057808084933326,0.5085706911647028,False,"[1.0, 118.28395333891868, -4.899899626275074, 1.139385954999934, -0.04895981577751457, 0.0595855485987216, -4.899899626275074, -0.030645208333333306, 0.04498145833333331, 0.04098374999999998, 2.4087333130086486, -7.308632939283722, 0.0, 0.9996179737382576, -533.8287610398123, 1.0]",0
22400007,Warriors,Mavericks,0.4143200886493949,0.22793516254194168,True,"[1.0, 114.40014675390913, 1.432490647599789, 1.135750596803413, 0.01438621482024018, 0.03520138889416349, 1.432490647599789, 0.018742499999999985, 0.03977479166666664, 0.04358999999999998, 1.8129807216430216, -0.38049007404323265, 0.0, 1.0192324762201381, 148.76706173667534, 1.0]",0
22400008,Trail Blazers,Timberwolves,0.08457816217348718,0.30087830981676966,False,"[1.0, 115.40635724892611, -8.017348942024503, 1.1446914989612522, -0.08012817914596501, -0.0016577497937532043, -8.017348942024503, -0.052807291666666645, 0.013305208333333318, -0.007736249999999995, 6.283360783544199, -14.300709725568701, 0.0, 0.9396071649917573, -777.6938975536166, 1.0]",0
22400009,Pacers,Heat,0.5591538105022152,0.0902897700544083,True,"[1.0, 118.97708475219478, 2.1795502322277733, 1.1445589687860003, 0.021819631666273005, -0.018310055171539868, 2.1795502322277733, 0.020547916666666655, -0.019204791666666644, -0.018172499999999998, 0.44303138576694495, 1.7365188464608283, 0.0, 1.0608355430895817, 222.36229963166133, 1.0]",0
22400010,Magic,76ers,0.5558586751869611,0.11347352124058907,True,"[1.0, 109.70551627283994, 2.3774775770674443, 1.1429718790024475, 0.05441928609300251, 0.22023953888066078, 2.3774775770674443, 0.0017429945662806152, -0.1533291170883963, 0.1962642563203173, 6.499456687426422, -4.121979110358978, 0.0, 0.97921628489427, 277.693012872954, 1.0]",0
22400011,Raptors,Pistons,0.9696762076579549,0.6420316461542878,True,"[1.0, 115.1530246516567, -2.139808321603592, 1.1433228905181658, -0.026229393723371797, -0.21095322440077804, -2.139808321603592, -0.011762147423849716, -0.16178203848162537, -0.08968985132928442, -7.957160267175107, 5.817351945571515, 0.0, 0.9816308762632978, -244.99442761941114, 1.0]",0
22400012,Hawks,Wizards,0.9483605216225514,0.5683086033354716,True,"[1.0, 118.2415004526043, -1.7520753012738954, 1.1506887828455852, -0.021206960603259623, -0.044831543994635764, -1.7520753012738954, -0.04180915856557769, 0.16828878569286876, 0.13118954695282567, -8.950989001062297, 7.198913699788402, 0.0, 1.0313436318116642, -43.67949317784095, 1.0]",0
22400013,Cavaliers,Bulls,0.7974009514799382,0.2807723624408558,True,"[1.0, 111.50910970548311, 1.8768798201133872, 1.1460257395655886, 0.018785043314682337, -0.008495583466171044, 1.8768798201133872, 0.021213713080168763, -0.005332911392405039, 0.002077637130801695, -3.359809858680529, 5.236689678793916, 0.0, 0.991384846574914, 221.2326428339936, 1.0]",0
22400014,Knicks,Nets,0.38668897274138153,0.09717649377076854,True,"[1.0, 111.43011340572295, 3.9547182656445194, 1.1427310387744807, 0.0414929394662448, -0.08495950679026289, 3.9547182656445194, -0.002859505627792299, 0.20831763404725678, -0.01899132555021122, -1.0115467299011516, 4.9662649955456715, 0.0, 1.0112944343325416, 441.75090440327125, 1.0]",0
22400015,Spurs,Lakers,0.5251421822445043,0.7019668772577033,False,"[1.0, 117.83732541195923, -9.422397937071043, 1.143397658147883, -0.094242878506503, -0.01865414135233108, -9.422397937071043, -0.026807916666666636, -0.00949999999999997, -0.019066666666666655, -1.0938383025271634, -8.328559634543879, 0.0, 0.9549776761111957, -997.3305654212427, 1.0]",0
22400016,Rockets,Clippers,0.217383758047131,0.5222432600548044,False,"[1.0, 111.47923010758181, 1.0933162310001205, 1.1413393825029812, 0.010974920350832956, 0.002342183487586382, 1.0933162310001205, -0.006670208333333318, 0.01399458333333332, 0.007695833333333314, 4.78292780778637, -3.6896115767862496, 0.0, 0.9846588471674123, 116.9466948882615, 1.0]",0
22400017,Pelicans,Nuggets,0.2040206103271566,0.02535074341545751,True,"[1.0, 111.85290637156909, 2.7169741418814533, 1.1404543961983624, 0.027132417487976707, -0.007275006270539204, 2.7169741418814533, 0.01768687499999998, 0.004746875000000002, 0.011188333333333312, 5.653773131751068, -2.9367989898696147, 0.0, 1.0054632079841255, 243.16252004794987, 1.0]",0
22400018,Thunder,Suns,0.49652561616514274,0.7578461104643691,False,"[1.0, 111.1268235487239, 6.792170563600149, 1.139385954999934, 0.06789714604080849, -0.07555714332719325, 6.792170563600149, 0.03956374999999998, -0.05572624999999996, -0.035093333333333296, 2.4087333130086486, 4.3834372505915, 0.0, 1.0357227751721931, 701.4126756095604, 1.0]",0
22400019,Warriors,Grizzlies,0.9957661209083111,0.5031362585800877,True,"[1.0, 114.44544038656248, 3.024657672774234, 1.1444007349504046, 0.010431050304437247, -0.00816913957632781, 3.024657672774234, 0.017282736645871884, -0.35850161546785386, 0.09541769158331492, -6.243974390446941, 9.268632063221176, 0.0, 1.0192324762201381, 148.76706173667534, 1.0]",0
22400020,Kings,Timberwolves,0.12952593628749143,0.9053506419560637,False,"[1.0, 115.2303701608076, 0.27701289249343436, 1.1446914989612522, 0.0027966270763924352, 0.02044830222754199, 0.27701289249343436, -0.00206229166666666, 0.03204312499999999, 0.015937916666666652, 6.283360783544199, -6.006347891050765, 0.0, 1.0118259817261521, 37.50216023508178, 1.0]",0
22400021,Celtics,Cavaliers,0.7080732702333533,0.7506147516408583,False,"[1.0, 109.63418731121904, 9.356915981345184, 1.1410314545392328, 0.10160111462283979, -0.060224633877689525, 9.356915981345184, 0.05691180259011353, 0.05397973549668732, 0.18355812605431227, 1.8768798201133872, 7.480036161231796, 0.0, 1.0529693851306454, 1044.712316345872, 1.0]",0
22400022,Nets,Hornets,0.964272953545941,0.01083765148029836,True,"[1.0, 115.99992512709527, -2.183828029795055, 1.146795773004591, 0.02842687288431676, 0.10337143256877479, -2.183828029795055, -0.009791906997290009, 0.08339039263683132, 0.07277423627924051, -10.039246894902917, 7.855418865107861, 0.0, 1.0066180191534109, -98.14812048163841, 1.0]",0
